dates,Wind Speed,aircraftArrivalAndDeparture
2017-01,7.893548387096773,31596
2017-02,10.442857142857145,28032
2017-03,8.880645161290323,30916
2017-04,6.356666666666666,30569
2017-05,8.299999999999999,31197
2017-06,8.6,30915
2017-07,10.248387096774193,31908
2017-08,10.787096774193552,31747
2017-09,8.49,30492
2017-10,6.445161290322581,31733
2017-11,6.393333333333333,31140
2017-12,8.216129032258063,32956
2018-01,7.603225806451613,32486
2018-02,12.325,29701
2018-03,9.980645161290322,32585
2018-04,8.823333333333332,31990
2018-05,7.832258064516131,32332
2018-06,8.123333333333335,31874
2018-07,10.709677419354842,32706
2018-08,11.238709677419356,32888
2018-09,8.796666666666669,31395
2018-10,7.38709677419355,32759
2018-11,5.883333333333335,31909
2018-12,6.790322580645161,33417
2019-01,11.180645161290322,32729
2019-02,12.27142857142857,29894
2019-03,10.380645161290323,32371
2019-04,7.659999999999999,31454
2019-05,7.606451612903225,31671
2019-06,8.93,31391
2019-07,12.641935483870968,32389
2019-08,14.980645161290324,32364
2019-09,13.376666666666667,31179
2019-10,7.751612903225807,31958
2019-11,7.106666666666667,31598
2019-12,9.680645161290322,33344
